MarketValue_Differential,away_elo,home_elo,home_rolling_relative_shots,away_rolling_relative_shots,home_rolling_shot_efficiency,away_rolling_shot_efficiency,home_rolling_fouls,away_rolling_fouls,h2h_goal_difference,home_rolling_goals_scored,away_rolling_goals_scored,home_rolling_discipline_score,away_rolling_discipline_score,home_rolling_goals_conceded,away_rolling_goals_conceded,month,day_of_week,FTR,Date,HomeTeam,AwayTeam
8.1,1451.3939523479917,1536.133070652701,9.0,-7.75,0.14248366013071898,0.0,8.333333333333334,16.75,0.0,2.3333333333333335,0.0,1.3333333333333333,1.5,0.0,2.5,8,6,H,2007-08-12,Man United,Derby
2.55,1487.1734865294934,1510.3376391289655,9.0,-3.0,0.1875,0.0,14.0,13.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,8,6,H,2007-08-12,Everton,Fulham
0.20000000000000018,1513.7244280335187,1524.4877730038359,-2.5,0.6666666666666666,0.1616161616161616,0.2031746031746032,14.25,14.666666666666666,0.0,1.5,2.3333333333333335,2.5,1.3333333333333333,0.5,1.3333333333333333,8,6,A,2007-08-12,Aston Villa,Portsmouth
9.32,1475.8328808275603,1522.868457412108,10.0,-6.333333333333333,0.07142857142857142,0.06060606060606061,15.0,10.0,0.0,1.0,0.6666666666666666,5.0,2.3333333333333335,0.0,1.6666666666666667,8,6,H,2007-08-12,Chelsea,Sunderland
-5.92,1522.8355040487525,1488.351815451716,-1.3333333333333333,-4.0,0.05808080808080809,0.0,10.0,11.0,0.0,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,0.0,8,6,H,2007-08-12,Reading,Liverpool
0.9500000000000002,1522.0054744075603,1489.2300589302401,11.0,-6.0,0.16408668730650156,0.10505050505050506,10.0,14.0,0.0,3.0,1.3333333333333333,2.0,2.0,3.5,1.3333333333333333,8,1,A,2007-08-14,Tottenham,Everton
-5.05,1545.6433841382163,1526.6115466629592,16.0,-6.0,0.0,0.2,14.0,15.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,8,2,D,2007-08-15,Portsmouth,Man United
2.94,1441.8836388624763,1513.34896240546,0.0,-8.8,0.15476190476190477,0.02,11.0,15.8,0.0,2.0,0.2,1.0,1.6,0.5,2.8,8,2,H,2007-08-15,Man City,Derby
-0.18000000000000016,1465.4979557142954,1475.5056512508986,-1.6666666666666667,-7.5,0.18803418803418803,0.045454545454545456,10.333333333333334,13.5,0.0,2.0,0.5,2.3333333333333335,2.0,2.0,2.5,8,2,H,2007-08-15,Fulham,Bolton
0.6799999999999999,1465.0148587489243,1465.561564146135,0.0,-5.25,0.0,0.045454545454545456,0.0,10.5,0.0,0.0,0.5,0.0,2.5,0.0,1.75,8,2,D,2007-08-15,Birmingham,Sunderland
-1.3399999999999999,1497.8519612689695,1465.1364770757336,-1.0,1.5,0.1,0.06066176470588235,14.5,14.5,0.0,0.5,1.0,3.0,2.0,1.5,2.0,8,2,H,2007-08-15,Wigan,Middlesbrough
-9.610000000000001,1533.686479490744,1502.0884079988698,-3.0,5.333333333333333,0.1507034632034632,0.0735042735042735,10.0,9.333333333333334,0.0,1.25,1.0,0.75,1.0,1.25,0.6666666666666666,8,2,A,2007-08-15,Reading,Chelsea
